,conversation_id,date,tweet,,,,,,,,,,,,,
0,1.41E+018,2021-06-24 8:41:03,Di gua udh ga ada sawah  digusur sentraland semua brooo,,,,,,,,,,,,,
1,1.41E+018,2021-06-22 1:05:52,teriak  harga properti mahal  akhirnya sawah digusur jadi perumahan  lalu marah  lagi karena tidak berpihak pada petani  akhirnya buka hutan untuk areal persawahan baru  tentu marah  lagi karena merusak hutan  dah paling bener tuh kalian berhenti berkembang biak aja ya,,,,,,,,,,,,,
2,1.41E+018,2021-06-18 8:41:56,Gunungnya udah dikeruk  Sawah udah jadi pabrik  Gubuk udah digusur  Jalan udah rusak  Makanya burungnya terbang nyari tempat yg damai,,,,,,,,,,,,,
3,1.41E+018,2021-06-17 20:55:28,Semua sawah akan digusur dinggo mbangun dalan tol pada waktunya,,,,,,,,,,,,,
4,1.41E+018,2021-06-17 19:41:33,Terpikir jg klo fenomena skrg proyek bangunan menjamur dimana   sdgkn sawah kian hari kian menipis  digusur mnjdi bangunan besar  Ini tentunya brdampak pula pada kurva ekonomi pekerja bidang pembangunan dgn pekerja pertanian,,,,,,,,,,,,,
5,1.41E+018,2021-06-17 15:33:53,sedih rasanya tu sawah digusur buat perumahan tapi kualitas bangunannya,,,,,,,,,,,,,
6,1.4E+018,2021-06-13 18:16:54,Ya kali gedung digusur bikin empang atau sawah Mana mau manusia manusia tamak itu,,,,,,,,,,,,,
7,1.4E+018,2021-06-08 17:35:34,Gkda pmandangan dsni  Cm sawah itupun sdh gk sbanyk dlu  digusur jd jln tol  Dulu masa kclq  hmpir tiap rmh ada halamannya lumayan luas  Skrg gkda Skrg sdh byk mall dan Rmh Skt jg  Q di desa tp bkn yg dipelosoknya  Rmhq dkt jl raya sby malang,,,,,,,,,,,,,
8,1.4E+018,2021-06-02 20:27:12,di umur segini aku berharap ayah ibuku punya tanah deket pinggir tol atau punya sawah terus mau digusur dan tiba tiba dapet uang kaget   M hasil gusuran  amin,,,,,,,,,,,,,
9,1.4E+018,2021-05-31 19:36:22,Digusur beli sawah lagi yang banyak,,,,,,,,,,,,,
10,1.4E+018,2021-05-25 8:04:07,Hutan dibuat lahan pertanian sawah malah dijadikan pabrik atau digusur buat jalan tol,,,,,,,,,,,,,
11,1.4E+018,2021-05-25 7:42:47,Proyek food estate di Kalimantan mau buka hutan gambut jadi sawah Sementara sawah  amp,,,,,,,,,,,,,
12,1.4E+018,2021-05-22 21:27:15,Telah dikuasai oleh pemodal atau dalam hal ini adalah kapitalis  Sawah dan kebun di kampung digusur menjadi beton  maka tdk ada pilihan selain merantau ke kota mengejar mimpi semu keluarga bahagia ala anak metropolitan yg diiklankan di tipi  tetangga,,,,,,,,,,,,,
13,1.39E+018,2021-05-03 10:58:24,Dimana akan kau petik kelak padi yang mengusir lengang dari lambung jika kau ikhlaskan sawah sawah hancur digusur sementara lapar pada anakmu tak juga kendur,,,,,,,,,,,,,
14,1.39E+018,2021-04-27 21:40:00,Tak hanya buih jadi permadani  Pemandangan pohon padi yg hijau terhampar di sawah laksana permadani raksasa  Capung  yg beterbangan  berburu belalang tatkala hujan  dan kunang  yg menghiasi malam  Tp itu dulu  kini tinggal kenangan  Sekarang sawahnya sudah digusur jadi perumahan,,,,,,,,,,,,,
15,1.39E+018,2021-04-27 15:22:11,Bagaimana kita bisa hidup dan beranak pinak dengan tenang  Sayang  Ketika negara tak pernah memberikan ketenangan sama sekali kepada kita  Sawah sawah diganti pabrik  hutan hutan dijadikan perkebunan sawit  desa desa digusur untuk pembangunan infrastruktur,,,,,,,,,,,,,
16,1.37E+018,2021-04-26 19:35:52,Mana ada dibutuhin  sawah ae habis digusur dijadii pemukiman  Beras terbaik Indonesia mah di impor  yg kita makan yg sisa gk kejual ke luar,,,,,,,,,,,,,
17,1.38E+018,2021-04-21 20:10:15,Sawah akan digusur jadi berubah fungsi  berasnya di pindah ke vietnam,,,,,,,,,,,,,
18,1.38E+018,2021-04-20 19:52:40,Tidak dipatahkan  hanya disobek  disemplak  digusur  dibejek bejek  kemudian dibubuykeun ke sawah,,,,,,,,,,,,,
19,1.38E+018,2021-04-15 9:10:13,Sawah digusur  kalo warganya gamau di paksa  abis itu dibuat jalan tol  Jalan tol katanya untuk memudahkan mobilisasi  lama lama semua lahan pertanian buat memudahkan mobilisasi pengiriman  Nah lahan taninya digusur  Iya abis itu kita semua makan aspal  Wassalam  wkwkwkwk,,,,,,,,,,,,,
20,1.38E+018,2021-04-06 21:58:20,Alam dibabat  sawah digusur  Terus kalau anak anak mau  back to nature  Sekolah alam menyediakan fasilitas dengan bayar   juta per bulan,,,,,,,,,,,,,
21,1.38E+018,2021-04-05 15:37:39,Nanti sawah baru digusur lagi buat jadi hunian  siklusnya berulang lagi  Makin lama hutannya makin habis  oksigen makin menipis  Pepohonan hijau jadi bagian dari sejarah  lalu penduduk bumi pun memusnah  Hilihhh   Takutt,,,,,,,,,,,,,
22,1.38E+018,2021-03-31 15:40:20,thats   GA TERLALU PAHAM       Ok then   itu sawah digusur dijadikan bandara akan mengurangi pengangguran  ada datanya  kasi saya dong   gusur sawah aja itu udah bikin pengangguran baru,,,,,,,,,,,,,
23,1.38E+018,2021-03-31 12:38:58,Bonngkar lg  jadikan sawah u petani yg digusur,,,,,,,,,,,,,
24,1.38E+018,2021-03-31 11:45:48,Berhektar hektar sawah digusur  anggaran hmpir   T  ujung nya hanya buat jdi bengkel sj   semuanya berawal dri baliho pricetag outfit seseorg,,,,,,,,,,,,,
25,1.38E+018,2021-03-31 11:25:37,Pdhl kalo dimisalkan tu duit buat pembangunan kan bisa buat bayar utang negara yak  lah ini bikin bandara yg ujung nya jadi bengkel dan sekian ribu hektar sawah digusur  masyarakat sekitar pun malah kena imbasnya,,,,,,,,,,,,,
26,1.38E+018,2021-03-31 10:48:29,Coba mbak Food estate punya sopo  Kalau bekas sawah yg digusur di Kertajati pasti punya rakyat  Maksude ngono   hak rakyat dimetamorfosis milik segelintir,,,,,,,,,,,,,
27,1.38E+018,2021-03-31 6:54:46,hektare sawah digusur,,,,,,,,,,,,,
28,1.38E+018,2021-03-31 0:45:27,Dulu sawah digusur jd bandara yg ga laku lalu berubah jd bengkel,,,,,,,,,,,,,
29,1.38E+018,2021-03-30 16:52:48,Nagara Rimba Nusa  tapi rimbanya dibalak jadi sawah baru  Sementara sawah yang ada digusur jadi pemukiman baru,,,,,,,,,,,,,
30,1.38E+018,2021-03-27 23:34:42,mungkin itu burung asalanya dari sawah sebelah yang digusur,,,,,,,,,,,,,
31,1.38E+018,2021-03-27 12:18:25,Sujeong menginjak tanah sawah sebelum lahannya digusur oleh jo sebagian teks hilang,,,,,,,,,,,,,
32,1.37E+018,2021-03-22 8:24:13,Sumber karbohidrat di Indonesia jenisnya banyak  Tapi kok seakan akan beras itu paling diistimewakan  Bahkan tak jarang habitat sumber karbohidrat lain digusur hanya untuk buat sawah,,,,,,,,,,,,,
33,1.37E+018,2021-03-20 11:19:27,Sawah digusur padi diimpor,,,,,,,,,,,,,
34,1.37E+018,2021-03-02 14:57:47,Gimana mau bertani  kalau sawah digusur jadi pabrik,,,,,,,,,,,,,
35,1.37E+018,2021-02-28 22:31:27,Untuk ditingkatkan pertanian sedangkan sawah lahan produktif di desa kami desa tengeng wetan kecamatan siwalan kab Pekalongan jawa Tengah seluas    hektare akan digusur dijadikan pabrik,,,,,,,,,,,,,
36,1.36E+018,2021-02-24 20:26:11,Ngecek sawah buat digusur yg udah   mah gtu sih,,,,,,,,,,,,,
37,1.36E+018,2021-02-24 20:07:11,Ayo nak anak agroteknologi bikin sawah indoor dlam gedung biar ga gampang digusur,,,,,,,,,,,,,
38,1.36E+018,2021-02-19 11:05:45,Mereka takut utk kesana  Krn blm familiar  Mentalitas juga kurang ntr kalo kurang ilmu  Paling bener beli sawah lagi yg kira  ada minyak  Ntr kalo digusur lg dpt uang lg,,,,,,,,,,,,,
39,1.36E+018,2021-02-17 20:33:26,Oh Indonesiaku  Tanah Subur Rakyat Nganggur Sawah Ladang pun digusur Tanam Jagung Tumbuh Gedung Tanam Padi Tumbuh Korupsi,,,,,,,,,,,,,
40,1.36E+018,2021-02-17 1:41:17,Jadi inget cerita dari antah berantah  Satu desa awalnya menentang adanya pembebasan lahan berupa sawah dan rumah  Kemudian karena uang ganti rugi selalu dinaikan maka lama  warga desa luluh dan mau digusur  Ada satu warga yang kekeuh untuk mempertahankan rumah dan sawahnya lalu,,,,,,,,,,,,,
41,1.36E+018,2021-02-14 19:33:54,Jaman pak harto malah  x dalam setahun pak jaman pakharto Indonesia swasembada pangan pak harto blusukan kesawah berad expor sekarang jaman bpk blusukan kesawah beras impor sawah digusur hidup kita tergantung hasil pertanian pak tlg jangan tol aja di perhatikan,,,,,,,,,,,,,
42,1.36E+018,2021-02-13 21:59:44,Skate tengah sawah yg terancam digusur,,,,,,,,,,,,,
43,1.36E+018,2021-02-09 11:57:13,Wah dukung PLTA toh  Nanti kalau desa dan sawah warga digusur buat dilelepin setuju juga ya,,,,,,,,,,,,,
44,1.36E+018,2021-02-06 7:37:50,kalau tambakrejo ga digusur mungkin sawah besar udah kerendem lagi,,,,,,,,,,,,,
45,1.35E+018,2021-02-05 21:42:11,Kaya buat orang ngan sawah di tengah laut aja bu  Kata  abdur stand up  bukn kata saya  Tp emang capil udah digusur yah sampe turun tangan sndiri,,,,,,,,,,,,,
46,1.36E+018,2021-02-05 15:09:50,Iyah pa soalnya tanah untuk sawah akan digusur dijadikan pabrik,,,,,,,,,,,,,
47,1.36E+018,2021-02-05 11:48:03,fenomena semakin tergusurnya tanah untuk pertanian khususnya tanaman padi adalah menyepelekan yang namanya sawah dan menyuruh menanam di pot    wagu sih  tanah digusur untuk pembangunan tapi warga dianjurkan  dipaksa  menanam skala tanggung kepalang ra karuan di pot,,,,,,,,,,,,,
48,1.36E+018,2021-02-03 19:20:50,Nanti sawah  digusur  buat bikin ladang panel surya diprotes awkowkwok  Oiya penambangan bahan baku batre tenaga surya juga merusak lingkungan  Sampah  Apa asepmya juga gak merusak atmosfir  Awkowkwok,,,,,,,,,,,,,
49,1.36E+018,2021-02-03 18:49:31,Ketika pemerintah lebih sok tau dari pada petani itu sendiri karena belom pernah mencicipi lahan sawah  Eh udh sering deh  Buat digusur  Xixixixi,,,,,,,,,,,,,
50,1.35E+018,2021-01-27 22:01:03,Tapipak kebonna ge digusur jadi pabrik  sawah jadi jalan tol  pasir dikedukan  Pak tani nu asli kesulitan dapat pupuk lhoo,,,,,,,,,,,,,
