conversation_id,date,tweet
1.41E+18,2021-06-24 8:41:03,"@Arif_kate Di gua udh ga ada sawah, digusur sentraland semua brooo"
1.41E+18,2021-06-22 1:05:52,teriak² harga properti mahal. akhirnya sawah digusur jadi perumahan. lalu marah² lagi karena tidak berpihak pada petani. akhirnya buka hutan untuk areal persawahan baru. tentu marah² lagi karena merusak hutan. dah paling bener tuh kalian berhenti berkembang biak aja ya.
1.41E+18,2021-06-18 8:41:56,@hidayat_387 Gunungnya udah dikeruk. Sawah udah jadi pabrik. Gubuk udah digusur. Jalan udah rusak. Makanya burungnya terbang nyari tempat yg damai :(
1.41E+18,2021-06-17 20:55:28,@TaniHitam Semua sawah akan digusur dinggo mbangun dalan tol pada waktunya
1.41E+18,2021-06-17 19:41:33,"Terpikir jg klo fenomena skrg proyek bangunan menjamur dimana2, sdgkn sawah kian hari kian menipis, digusur mnjdi bangunan besar. Ini tentunya brdampak pula pada kurva ekonomi pekerja bidang pembangunan dgn pekerja pertanian"
1.41E+18,2021-06-17 15:33:53,@ezash sedih rasanya tu sawah digusur buat perumahan tapi kualitas bangunannya...... 🙈
1.40E+18,2021-06-13 18:16:54,@bandacatturas @mamedmad Ya kali gedung digusur bikin empang atau sawah Mana mau manusia manusia tamak itu.
1.40E+18,2021-06-08 17:35:34,"@qdewangga_ Gkda pmandangan dsni. Cm sawah itupun sdh gk sbanyk dlu. digusur jd jln tol🤭 Dulu masa kclq, hmpir tiap rmh ada halamannya lumayan luas. Skrg gkda😌 Skrg sdh byk mall dan Rmh Skt jg. Q di desa tp bkn yg dipelosoknya. Rmhq dkt jl.raya sby malang."
1.40E+18,2021-06-02 20:27:12,di umur segini aku berharap ayah-ibuku punya tanah deket pinggir tol atau punya sawah terus mau digusur dan tiba-tiba dapet uang kaget 10M hasil gusuran. amin.
1.40E+18,2021-05-31 19:36:22,@zenyuminAja Digusur beli sawah lagi yang banyak
1.40E+18,2021-05-31 17:02:22,"Ini masih mending ngobak di kobakan air hujan, kemarin sebelum dibikin ginian, pada ngobak di comberan anjrit 😭 fyi sebelah rumah gua itu sawah +hutan gtu lah, lagi digusur trus ini pada ngobak disini 😭 https://t.co/dcc2K8gmz8"
1.40E+18,2021-05-25 8:04:07,@irhamnapermana @msaid_didu Hutan dibuat lahan pertanian sawah malah dijadikan pabrik atau digusur buat jalan tol
1.40E+18,2021-05-25 7:42:47,Proyek food estate di Kalimantan mau buka hutan gambut jadi sawah Sementara sawah &amp
1.40E+18,2021-05-22 21:27:15,"Telah dikuasai oleh pemodal atau dalam hal ini adalah kapitalis. Sawah dan kebun di kampung digusur menjadi beton, maka tdk ada pilihan selain merantau ke kota mengejar mimpi semu keluarga bahagia ala anak metropolitan yg diiklankan di tipi2 tetangga."
1.39E+18,2021-05-19 8:12:26,"""KTP ngendi ? Nek ga seneng pindah seko Jogja"", kita pemuda Jogja yang belum merasakan digusur. Bagi kalian yang nantinya digusur karena posisi rumah dan sawah kalian sangat strategis untuk lahan bisnis Pemda, bisa dicoba ikut transmigrasi wkwkw https://t.co/hwN89d4HTP"
1.39E+18,2021-05-03 10:58:24,Dimana akan kau petik kelak padi yang mengusir lengang dari lambung jika kau ikhlaskan sawah-sawah hancur digusur sementara lapar pada anakmu tak juga kendur?
1.39E+18,2021-04-27 21:40:00,"@RAMujiyono Tak hanya buih jadi permadani. Pemandangan pohon padi yg hijau terhampar di sawah laksana permadani raksasa. Capung2 yg beterbangan, berburu belalang tatkala hujan, dan kunang2 yg menghiasi malam. Tp itu dulu, kini tinggal kenangan. Sekarang sawahnya sudah digusur jadi perumahan."
1.39E+18,2021-04-27 15:22:11,"Bagaimana kita bisa hidup dan beranak-pinak dengan tenang, Sayang? Ketika negara tak pernah memberikan ketenangan sama sekali kepada kita. Sawah-sawah diganti pabrik, hutan-hutan dijadikan perkebunan sawit, desa-desa digusur untuk pembangunan infrastruktur."
1.37E+18,2021-04-26 19:35:52,"@memijin_ Mana ada dibutuhin, sawah ae habis digusur dijadii pemukiman. Beras terbaik Indonesia mah di impor, yg kita makan yg sisa gk kejual ke luar 🤣🤣"
1.38E+18,2021-04-21 20:10:15,"@MSApunya @PutraWadapi Sawah akan digusur jadi berubah fungsi, berasnya di pindah ke vietnam"
1.38E+18,2021-04-20 19:52:40,"@nanisentyaa Tidak dipatahkan, hanya disobek, disemplak, digusur, dibejek-bejek, kemudian dibubuykeun ke sawah"
1.38E+18,2021-04-19 8:30:29,"Sibuk mengimpor lupa menanam. Masalahnya, mau tanam di mana kalau sawah, ladang, hutan sdh banyak digusur utk tambang, sawit, property, infrastruktur, dan lainnya https://t.co/AqtIEuV7Ue"
1.38E+18,2021-04-15 9:10:13,"Sawah digusur, kalo warganya gamau di paksa, abis itu dibuat jalan tol. Jalan tol katanya untuk memudahkan mobilisasi, lama-lama semua lahan pertanian buat memudahkan mobilisasi pengiriman. Nah lahan taninya digusur. Iya abis itu kita semua makan aspal. Wassalam. wkwkwkwk"
1.38E+18,2021-04-06 21:58:20,"Alam dibabat, sawah digusur. Terus kalau anak-anak mau ✨back to nature✨ Sekolah alam menyediakan fasilitas dengan bayar 5 juta per bulan 💀💀💀"
1.38E+18,2021-04-05 15:37:39,"Nanti sawah baru digusur lagi buat jadi hunian, siklusnya berulang lagi. Makin lama hutannya makin habis, oksigen makin menipis. Pepohonan hijau jadi bagian dari sejarah, lalu penduduk bumi pun memusnah. Hilihhh.. Takutt 😢"
1.38E+18,2021-03-31 15:40:20,@Damarja54327898 @WPradhika @Priagarislurus @VIVAcoid thats ((GA TERLALU PAHAM)) 🤭🤭🤭 Ok then.. itu sawah digusur dijadikan bandara akan mengurangi pengangguran. ada datanya? kasi saya dong.. gusur sawah aja itu udah bikin pengangguran baru.
1.38E+18,2021-03-31 12:38:58,"@masjokose @kompascom Bonngkar lg, jadikan sawah u petani yg digusur ..."
1.38E+18,2021-03-31 11:45:48,"@Quvvatt Berhektar-hektar sawah digusur, anggaran hmpir 3 T, ujung2nya hanya buat jdi bengkel sj...semuanya berawal dri baliho pricetag outfit seseorg"
