tweet,text_clean,polarity_score,polarity
"@Arif_kate Di gua udh ga ada sawah, digusur sentraland semua brooo",di gua udh ga ada sawah digusur sentraland semua brooo,-4,negative
teriak² harga properti mahal. akhirnya sawah digusur jadi perumahan. lalu marah² lagi karena tidak berpihak pada petani. akhirnya buka hutan untuk areal persawahan baru. tentu marah² lagi karena merusak hutan. dah paling bener tuh kalian berhenti berkembang biak aja ya.,teriak² harga properti mahal akhirnya sawah digusur jadi perumahan lalu marah² lagi karena tidak berpihak pada petani akhirnya buka hutan untuk areal persawahan baru tentu marah² lagi karena merusak hutan dah paling bener tuh kalian berhenti berkembang biak aja ya,11,positive
@hidayat_387 Gunungnya udah dikeruk. Sawah udah jadi pabrik. Gubuk udah digusur. Jalan udah rusak. Makanya burungnya terbang nyari tempat yg damai :(,gunungnya udah dikeruk sawah udah jadi pabrik gubuk udah digusur jalan udah rusak makanya burungnya terbang nyari tempat yg damai,-5,negative
@TaniHitam Semua sawah akan digusur dinggo mbangun dalan tol pada waktunya,semua sawah akan digusur dinggo mbangun dalan tol pada waktunya,-2,negative
"Terpikir jg klo fenomena skrg proyek bangunan menjamur dimana2, sdgkn sawah kian hari kian menipis, digusur mnjdi bangunan besar. Ini tentunya brdampak pula pada kurva ekonomi pekerja bidang pembangunan dgn pekerja pertanian",terpikir jg klo fenomena skrg proyek bangunan menjamur dimana sdgkn sawah kian hari kian menipis digusur mnjdi bangunan besar ini tentunya brdampak pula pada kurva ekonomi pekerja bidang pembangunan dgn pekerja pertanian,6,positive
@ezash sedih rasanya tu sawah digusur buat perumahan tapi kualitas bangunannya...... 🙈,sedih rasanya tu sawah digusur buat perumahan tapi kualitas bangunannya 🙈,2,positive
@bandacatturas @mamedmad Ya kali gedung digusur bikin empang atau sawah Mana mau manusia manusia tamak itu.,ya kali gedung digusur bikin empang atau sawah mana mau manusia manusia tamak itu,5,positive
"@qdewangga_ Gkda pmandangan dsni. Cm sawah itupun sdh gk sbanyk dlu. digusur jd jln tol🤭 Dulu masa kclq, hmpir tiap rmh ada halamannya lumayan luas. Skrg gkda😌 Skrg sdh byk mall dan Rmh Skt jg. Q di desa tp bkn yg dipelosoknya. Rmhq dkt jl.raya sby malang.",gkda pmandangan dsni cm sawah itupun sdh gk sbanyk dlu digusur jd jln tol🤭 dulu masa kclq hmpir tiap rmh ada halamannya lumayan luas skrg gkda😌 skrg sdh byk mall dan rmh skt jg q di desa tp bkn yg dipelosoknya rmhq dkt jlraya sby malang,-4,negative
di umur segini aku berharap ayah-ibuku punya tanah deket pinggir tol atau punya sawah terus mau digusur dan tiba-tiba dapet uang kaget 10M hasil gusuran. amin.,di umur segini aku berharap ayahibuku punya tanah deket pinggir tol atau punya sawah terus mau digusur dan tibatiba dapet uang kaget m hasil gusuran amin,7,positive
@zenyuminAja Digusur beli sawah lagi yang banyak,digusur beli sawah lagi yang banyak,-1,negative
@irhamnapermana @msaid_didu Hutan dibuat lahan pertanian sawah malah dijadikan pabrik atau digusur buat jalan tol,hutan dibuat lahan pertanian sawah malah dijadikan pabrik atau digusur buat jalan tol,2,positive
Proyek food estate di Kalimantan mau buka hutan gambut jadi sawah Sementara sawah &amp,proyek food estate di kalimantan mau buka hutan gambut jadi sawah sementara sawah amp,4,positive
