conversation_id,date,tweet,text_clean,text_preprocessed
1.41E+18,2021-06-24 8:41:03,"@Arif_kate Di gua udh ga ada sawah, digusur sentraland semua brooo",di gua udh ga ada sawah digusur sentraland semua brooo,"['gua', 'udh', 'ga', 'sawah', 'gusur', 'sentraland', 'brooo']"
1.41E+18,2021-06-22 1:05:52,teriak² harga properti mahal. akhirnya sawah digusur jadi perumahan. lalu marah² lagi karena tidak berpihak pada petani. akhirnya buka hutan untuk areal persawahan baru. tentu marah² lagi karena merusak hutan. dah paling bener tuh kalian berhenti berkembang biak aja ya.,teriak² harga properti mahal akhirnya sawah digusur jadi perumahan lalu marah² lagi karena tidak berpihak pada petani akhirnya buka hutan untuk areal persawahan baru tentu marah² lagi karena merusak hutan dah paling bener tuh kalian berhenti berkembang biak aja ya,"['teriak', 'harga', 'properti', 'mahal', 'sawah', 'gusur', 'rumah', 'marah', 'pihak', 'tani', 'buka', 'hutan', 'areal', 'sawah', 'marah', 'rusak', 'hutan', 'dah', 'bener', 'tuh', 'henti', 'kembang', 'biak', 'aja', 'ya']"
1.41E+18,2021-06-18 8:41:56,@hidayat_387 Gunungnya udah dikeruk. Sawah udah jadi pabrik. Gubuk udah digusur. Jalan udah rusak. Makanya burungnya terbang nyari tempat yg damai :(,gunungnya udah dikeruk sawah udah jadi pabrik gubuk udah digusur jalan udah rusak makanya burungnya terbang nyari tempat yg damai,"['gunung', 'udah', 'keruk', 'sawah', 'udah', 'pabrik', 'gubuk', 'udah', 'gusur', 'jalan', 'udah', 'rusak', 'burung', 'terbang', 'nyari', 'yg', 'damai']"
1.41E+18,2021-06-17 20:55:28,@TaniHitam Semua sawah akan digusur dinggo mbangun dalan tol pada waktunya,semua sawah akan digusur dinggo mbangun dalan tol pada waktunya,"['sawah', 'gusur', 'dinggo', 'mbangun', 'dal', 'tol']"
1.41E+18,2021-06-17 19:41:33,"Terpikir jg klo fenomena skrg proyek bangunan menjamur dimana2, sdgkn sawah kian hari kian menipis, digusur mnjdi bangunan besar. Ini tentunya brdampak pula pada kurva ekonomi pekerja bidang pembangunan dgn pekerja pertanian",terpikir jg klo fenomena skrg proyek bangunan menjamur dimana sdgkn sawah kian hari kian menipis digusur mnjdi bangunan besar ini tentunya brdampak pula pada kurva ekonomi pekerja bidang pembangunan dgn pekerja pertanian,"['pikir', 'jg', 'klo', 'fenomena', 'skrg', 'proyek', 'bangun', 'jamur', 'mana', 'sdgkn', 'sawah', 'kian', 'kian', 'tip', 'gusur', 'mnjdi', 'bangun', 'brdampak', 'kurva', 'ekonomi', 'kerja', 'bidang', 'bangun', 'dgn', 'kerja', 'tani']"
1.41E+18,2021-06-17 15:33:53,@ezash sedih rasanya tu sawah digusur buat perumahan tapi kualitas bangunannya...... 🙈,sedih rasanya tu sawah digusur buat perumahan tapi kualitas bangunannya 🙈,"['sedih', 'tu', 'sawah', 'gusur', 'rumah', 'kualitas', 'bangun', '']"
1.40E+18,2021-06-13 18:16:54,@bandacatturas @mamedmad Ya kali gedung digusur bikin empang atau sawah Mana mau manusia manusia tamak itu.,ya kali gedung digusur bikin empang atau sawah mana mau manusia manusia tamak itu,"['ya', 'kali', 'gedung', 'gusur', 'bikin', 'empang', 'sawah', 'manusia', 'manusia', 'tamak']"
1.40E+18,2021-06-08 17:35:34,"@qdewangga_ Gkda pmandangan dsni. Cm sawah itupun sdh gk sbanyk dlu. digusur jd jln tol🤭 Dulu masa kclq, hmpir tiap rmh ada halamannya lumayan luas. Skrg gkda😌 Skrg sdh byk mall dan Rmh Skt jg. Q di desa tp bkn yg dipelosoknya. Rmhq dkt jl.raya sby malang.",gkda pmandangan dsni cm sawah itupun sdh gk sbanyk dlu digusur jd jln tol🤭 dulu masa kclq hmpir tiap rmh ada halamannya lumayan luas skrg gkda😌 skrg sdh byk mall dan rmh skt jg q di desa tp bkn yg dipelosoknya rmhq dkt jlraya sby malang,"['gkda', 'pmandangan', 'dsni', 'cm', 'sawah', 'itu', 'sdh', 'gk', 'sbanyk', 'dlu', 'gusur', 'jd', 'jln', 'tol', 'kclq', 'hmpir', 'rmh', 'halaman', 'lumayan', 'luas', 'skrg', 'gkda', 'skrg', 'sdh', 'byk', 'mall', 'rmh', 'skt', 'jg', 'q', 'desa', 'tp', 'bkn', 'yg', 'pelosok', 'rmhq', 'dkt', 'jlraya', 'sby', 'malang']"
1.40E+18,2021-06-02 20:27:12,di umur segini aku berharap ayah-ibuku punya tanah deket pinggir tol atau punya sawah terus mau digusur dan tiba-tiba dapet uang kaget 10M hasil gusuran. amin.,di umur segini aku berharap ayahibuku punya tanah deket pinggir tol atau punya sawah terus mau digusur dan tibatiba dapet uang kaget m hasil gusuran amin,"['umur', 'gin', 'harap', 'ayahibuku', 'tanah', 'deket', 'pinggir', 'tol', 'sawah', 'gusur', 'tibatiba', 'dapet', 'uang', 'kaget', 'm', 'hasil', 'gusur', 'amin']"
1.40E+18,2021-05-31 19:36:22,@zenyuminAja Digusur beli sawah lagi yang banyak,digusur beli sawah lagi yang banyak,"['gusur', 'beli', 'sawah']"
