,Unnamed: 0,conversation_id,date,tweet,tweetbersih,translated,sentiment,,,,,,,,,,,,,
0,0,1.41E+018,2021-06-24 8:41:03,Di gua udh ga ada sawah  digusur sentraland semua brooo,Di gua sudah tidak ada sawah digusur sentraland semua,In the cave there are no rice fields evicted by Central and all brooo,negative,,,,,,,,,,,,,
1,1,1.41E+018,2021-06-22 1:05:52,teriak  harga properti mahal  akhirnya sawah digusur jadi perumahan  lalu marah  lagi karena tidak berpihak pada petani  akhirnya buka hutan untuk areal persawahan baru  tentu marah  lagi karena merusak hutan  dah paling bener tuh kalian berhenti berkembang biak aja ya,teriak harga properti mahal  akhirnya sawah digusur jadi perumahan lalu marah lagi karena tidak berpihak pada petani  akhirnya buka hutan untuk areal persawahan baru  tentu marah  lagi karena merusak hutan paling bener tuh kalian berhenti berkembang biak,"shouted expensive property prices, finally the rice fields were evicted into housing and then angry again because they did not side with the farmers, finally opened forest for new rice fields, of course angry again for destroying the forest, it's true, you just stop breeding, okay?",negative,,,,,,,,,,,,,
2,2,1.41E+018,2021-06-18 8:41:56,Gunungnya udah dikeruk  Sawah udah jadi pabrik  Gubuk udah digusur  Jalan udah rusak  Makanya burungnya terbang nyari tempat yg damai,Gunungnya udah dikeruk  Sawah udah jadi pabrik  Gubuk udah digusur  Jalan udah rusak  Makanya burungnya terbang nyari tempat yg damai,The mountain has been dredged The rice field has become a factory The hut has been evicted The road has been damaged That's why the birds fly to find a peaceful place,negative,,,,,,,,,,,,,
3,3,1.41E+018,2021-06-17 20:55:28,Semua sawah akan digusur dinggo mbangun dalan tol pada waktunya,Semua sawah akan digusur membangun jalan tol pada waktunya,All rice fields will be evicted so that they can build on the toll road in time,neutral,,,,,,,,,,,,,
4,4,1.41E+018,2021-06-17 19:41:33,Terpikir jg klo fenomena skrg proyek bangunan menjamur dimana   sdgkn sawah kian hari kian menipis  digusur mnjdi bangunan besar  Ini tentunya brdampak pula pada kurva ekonomi pekerja bidang pembangunan dgn pekerja pertanian,Terpikir juga kalau fenomena sekarang proyek bangunan menjamur dimana  mana sedangkan sawah kian hari kian menipis digusur menjadi bangunan besar  Ini tentunya berdampak pula pada kurva ekonomi pekerja bidang pembangunan dengan pekerja pertanian,"It also occurred to me that the phenomenon now that building projects are mushrooming, where rice fields are getting thinner day by day, is being evicted into large buildings. This of course has an impact on the economic curve of construction workers and agricultural workers.",neutral,,,,,,,,,,,,,
5,5,1.41E+018,2021-06-17 15:33:53,sedih rasanya tu sawah digusur buat perumahan tapi kualitas bangunannya,sedih rasanya itu sawah digusur buat perumahan tapi kualitas bangunannya,It's sad that the rice fields are being evicted for housing but the quality of the buildings is,neutral,,,,,,,,,,,,,
6,6,1.4E+018,2021-06-13 18:16:54,Ya kali gedung digusur bikin empang atau sawah Mana mau manusia manusia tamak itu,Ya kali gedung digusur bikin empang atau sawah Mana mau manusia manusia tamak itu,"Yes, when the building is evicted, it makes a pond or rice field. Where do you want greedy humans?",neutral,,,,,,,,,,,,,
7,7,1.4E+018,2021-06-08 17:35:34,Gkda pmandangan dsni  Cm sawah itupun sdh gk sbanyk dlu  digusur jd jln tol  Dulu masa kclq  hmpir tiap rmh ada halamannya lumayan luas  Skrg gkda Skrg sdh byk mall dan Rmh Skt jg  Q di desa tp bkn yg dipelosoknya  Rmhq dkt jl raya sby malang,Tidak ada pemandangan disini hanya sawah itupun sudah gak sebanyak dulu digusur jadi jalan tol Dulu masa kecil  hampir tiap rumah ada halamannya lumayan luas  Sekarang tidak ada Sekarang sudah banyak mall dan Rumah Sakit juga di desa tapi bukan yang dipelosoknya Rumah dekat jalan raya surabaya malang,"There is no view from here. Even then, the rice fields have not been evicted so much before to become a toll road. In the past, almost every house has a fairly large yard. Now it's not. Now there are many malls and Rmh. Skt too Q in the village but not in the corners. Rmhq dkt on Jalan Raya now. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .",negative,,,,,,,,,,,,,
8,8,1.4E+018,2021-06-02 20:27:12,di umur segini aku berharap ayah ibuku punya tanah deket pinggir tol atau punya sawah terus mau digusur dan tiba tiba dapet uang kaget   M hasil gusuran  amin,di umur segini aku berharap ayah ibuku punya tanah deket pinggir tol atau punya sawah terus mau digusur dan tiba tiba dapet uang kaget hasil gusuran,"At this age, I hope that my mother and father have land near the edge of the toll road or have rice fields and they want to be evicted and suddenly I get shocked money M from the eviction amen",neutral,,,,,,,,,,,,,
9,9,1.4E+018,2021-05-31 19:36:22,Digusur beli sawah lagi yang banyak,Digusur beli sawah lagi yang banyak,Evicted buy more rice fields,neutral,,,,,,,,,,,,,
